step,secs,tou_price,s0_c1,s0_c2,s0_c3,s0_c4,s0_c5,s0_active_load_kw,pv_0,s1_c1,s1_c2,s1_c3,s1_c4,s1_c5,s1_active_load_kw,pv_1,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_active_load_kw,pv_2,s3_c1,s3_c2,s3_c3,s3_c4,s3_c5,s3_active_load_kw,pv_3,s4_c1,s4_c2,s4_c3,s4_c4,s4_c5,s4_active_load_kw,pv_4,temperature_c,humidity_pct,cloud_amount,precipitation_mm,snow_cm,wind_speed_ms,wind_direction_deg,pressure_hpa,sea_level_pressure_hpa,solar_radiation_mj_m2,current_PTY
0,0,84.5,0,1,0,0,0,46.311,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,46.377,0.0,0,0,0,0,0,0.0,0.0,13.875,96.501,10.0,0.925,0.0,2.725,290.0,994.917,1005.017,0.0,1
0,600,84.5,0,1,0,0,0,46.359,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,46.308,0.0,0,0,0,0,0,0.0,0.0,13.825,95.501,10.0,0.775,0.0,2.575,290.0,994.95,1005.05,0.0,1
0,1200,84.5,0,1,0,0,0,46.153,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,46.16,0.0,0,1,0,0,0,40.193,0.0,13.775,94.501,10.0,0.625,0.0,2.425,290.0,994.983,1005.083,0.0,1
0,1800,84.5,0,1,0,0,0,46.269,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,46.219,0.0,0,0,0,0,0,19.024,0.0,13.725,93.501,10.0,0.475,0.0,2.275,290.0,995.017,1005.117,0.0,1
0,2400,84.5,0,1,0,0,0,46.166,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,46.186,0.0,0,0,0,0,0,0.0,0.0,13.675,92.501,10.0,0.325,0.0,2.125,290.0,995.05,1005.15,0.0,1
0,3000,84.5,0,1,0,0,0,46.414,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,18.268,0.0,1,0,0,0,0,46.328,0.0,0,0,0,0,0,0.0,0.0,13.625,91.501,10.0,0.175,0.0,1.975,290.0,995.083,1005.183,0.0,1
1,0,84.5,0,1,0,0,0,46.307,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8.559,0.0,1,0,0,0,0,46.234,0.0,0,0,0,0,0,0.0,0.0,13.592,91.333,10.0,0.092,0.0,2.025,250.0,995.125,1005.225,0.0,1
1,600,84.5,0,1,0,0,0,46.4,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,46.278,0.0,0,0,0,0,0,0.0,0.0,13.575,91.999,10.0,0.075,0.0,2.275,250.0,995.175,1005.275,0.0,1
1,1200,84.5,0,1,0,0,0,46.215,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,46.2,0.0,0,0,0,0,0,0.0,0.0,13.558,92.666,10.0,0.058,0.0,2.525,250.0,995.225,1005.325,0.0,1
1,1800,84.5,0,1,0,0,0,46.323,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,46.424,0.0,0,0,0,0,0,0.0,0.0,13.542,93.333,10.0,0.042,0.0,2.775,250.0,995.275,1005.375,0.0,1
1,2400,84.5,0,1,0,0,0,46.18,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,46.261,0.0,0,0,0,0,0,0.0,0.0,13.525,93.999,10.0,0.025,0.0,3.025,250.0,995.325,1005.425,0.0,1
1,3000,84.5,0,0,0,0,0,12.605,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,16.149,0.0,0,0,0,0,0,0.0,0.0,13.508,94.666,10.0,0.008,0.0,3.275,250.0,995.375,1005.475,0.0,1
2,0,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,13.417,94.667,9.917,0.0,0.0,3.383,270.0,995.492,1005.6,0.0,0
2,600,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,13.25,94.001,9.75,0.0,0.0,3.35,270.0,995.675,1005.8,0.0,0
2,1200,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,13.083,93.334,9.583,0.0,0.0,3.317,270.0,995.858,1006.0,0.0,0
2,1800,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.917,92.667,9.417,0.0,0.0,3.283,270.0,996.042,1006.2,0.0,0
2,2400,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,4.531,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.75,92.001,9.25,0.0,0.0,3.25,270.0,996.225,1006.4,0.0,0
2,3000,84.5,0,0,0,0,0,0.0,0.0,0,1,0,0,0,46.218,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.583,91.334,9.083,0.0,0.0,3.217,270.0,996.408,1006.6,0.0,0
3,0,84.5,0,0,0,0,0,0.0,0.0,0,1,0,0,0,46.337,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.442,91.0,8.834,0.0,0.0,3.217,270.0,996.567,1006.767,0.0,0
3,600,84.5,0,0,0,0,0,0.0,0.0,0,1,0,0,0,46.244,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.325,91.0,8.5,0.0,0.0,3.25,270.0,996.7,1006.9,0.0,0
3,1200,84.5,0,0,0,0,0,0.0,0.0,0,1,0,0,0,46.161,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.208,91.0,8.167,0.0,0.0,3.283,270.0,996.833,1007.033,0.0,0
3,1800,84.5,0,0,0,0,0,0.0,0.0,0,1,0,0,0,46.22,0.0,0,0,0,0,1,4.648,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.092,91.0,7.834,0.0,0.0,3.317,270.0,996.967,1007.167,0.0,0
3,2400,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,3.907,0.0,0,0,0,0,1,6.486,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,11.975,91.0,7.5,0.0,0.0,3.35,270.0,997.1,1007.3,0.0,0
3,3000,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,5.744,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,11.858,91.0,7.167,0.0,0.0,3.383,270.0,997.233,1007.433,0.0,0
4,0,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,11.725,91.0,6.834,0.0,0.0,3.342,270.0,997.358,1007.567,0.0,0
4,600,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,11.575,91.0,6.5,0.0,0.0,3.225,270.0,997.475,1007.7,0.0,0
4,1200,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,11.425,91.0,6.167,0.0,0.0,3.108,270.0,997.592,1007.833,0.0,0
4,1800,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,11.275,91.0,5.834,0.0,0.0,2.992,270.0,997.708,1007.967,0.0,0
4,2400,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,11.125,91.0,5.5,0.0,0.0,2.875,270.0,997.825,1008.1,0.0,0
4,3000,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.975,91.0,5.167,0.0,0.0,2.758,270.0,997.942,1008.233,0.0,0
5,0,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.867,91.083,4.917,0.0,0.0,2.75,250.0,998.083,1008.383,0.0,0
